#Simple stellar population models from Maraston et al. 2009, MNRAS, 394, L107
#based on the population synthesis code and energetics of Maraston (2005) and 
#the empirical stellar library by Pickles 1998. TP-AGB as in Maraston (2005) 
#
#   t(Gyr),  [Z/H],  lambda(AA),   Flux (Lsun/AA)
5.000000,  0.00,     2925.0,   0.3880E+28
5.000000,  0.00,     2930.0,   0.3943E+28
5.000000,  0.00,     2935.0,   0.3957E+28
5.000000,  0.00,     2940.0,   0.3899E+28
5.000000,  0.00,     2945.0,   0.3865E+28
5.000000,  0.00,     2950.0,   0.3853E+28
5.000000,  0.00,     2955.0,   0.3878E+28
5.000000,  0.00,     2960.0,   0.3817E+28
5.000000,  0.00,     2965.0,   0.3657E+28
5.000000,  0.00,     2970.0,   0.3502E+28
5.000000,  0.00,     2975.0,   0.3505E+28
5.000000,  0.00,     2980.0,   0.3428E+28
5.000000,  0.00,     2985.0,   0.3255E+28
5.000000,  0.00,     2990.0,   0.3258E+28
5.000000,  0.00,     2995.0,   0.3221E+28
5.000000,  0.00,     3000.0,   0.3147E+28
5.000000,  0.00,     3005.0,   0.3149E+28
5.000000,  0.00,     3010.0,   0.3241E+28
5.000000,  0.00,     3015.0,   0.3331E+28
5.000000,  0.00,     3020.0,   0.3385E+28
5.000000,  0.00,     3025.0,   0.3588E+28
5.000000,  0.00,     3030.0,   0.3850E+28
5.000000,  0.00,     3035.0,   0.3984E+28
5.000000,  0.00,     3040.0,   0.4065E+28
5.000000,  0.00,     3045.0,   0.4191E+28
5.000000,  0.00,     3050.0,   0.4335E+28
5.000000,  0.00,     3055.0,   0.4400E+28
5.000000,  0.00,     3060.0,   0.4452E+28
5.000000,  0.00,     3065.0,   0.4584E+28
5.000000,  0.00,     3070.0,   0.4730E+28
5.000000,  0.00,     3075.0,   0.4841E+28
5.000000,  0.00,     3080.0,   0.4927E+28
5.000000,  0.00,     3085.0,   0.4975E+28
5.000000,  0.00,     3090.0,   0.4984E+28
5.000000,  0.00,     3095.0,   0.4993E+28
5.000000,  0.00,     3100.0,   0.5127E+28
5.000000,  0.00,     3105.0,   0.5399E+28
5.000000,  0.00,     3110.0,   0.5574E+28
5.000000,  0.00,     3115.0,   0.5549E+28
5.000000,  0.00,     3120.0,   0.5574E+28
5.000000,  0.00,     3125.0,   0.5664E+28
5.000000,  0.00,     3130.0,   0.5798E+28
5.000000,  0.00,     3135.0,   0.5918E+28
5.000000,  0.00,     3140.0,   0.5933E+28
5.000000,  0.00,     3145.0,   0.5890E+28
5.000000,  0.00,     3150.0,   0.6075E+28
5.000000,  0.00,     3155.0,   0.6112E+28
5.000000,  0.00,     3160.0,   0.6336E+28
5.000000,  0.00,     3165.0,   0.6612E+28
5.000000,  0.00,     3170.0,   0.6934E+28
5.000000,  0.00,     3175.0,   0.7092E+28
5.000000,  0.00,     3180.0,   0.6982E+28
5.000000,  0.00,     3185.0,   0.6773E+28
5.000000,  0.00,     3190.0,   0.6765E+28
5.000000,  0.00,     3195.0,   0.6939E+28
5.000000,  0.00,     3200.0,   0.7391E+28
5.000000,  0.00,     3205.0,   0.7438E+28
5.000000,  0.00,     3210.0,   0.7144E+28
5.000000,  0.00,     3215.0,   0.6659E+28
5.000000,  0.00,     3220.0,   0.6233E+28
5.000000,  0.00,     3225.0,   0.6037E+28
5.000000,  0.00,     3230.0,   0.6047E+28
5.000000,  0.00,     3235.0,   0.6240E+28
5.000000,  0.00,     3240.0,   0.6590E+28
5.000000,  0.00,     3245.0,   0.7106E+28
5.000000,  0.00,     3250.0,   0.7690E+28
5.000000,  0.00,     3255.0,   0.8294E+28
5.000000,  0.00,     3260.0,   0.8824E+28
5.000000,  0.00,     3265.0,   0.9080E+28
5.000000,  0.00,     3270.0,   0.9047E+28
5.000000,  0.00,     3275.0,   0.8884E+28
5.000000,  0.00,     3280.0,   0.8865E+28
5.000000,  0.00,     3285.0,   0.9187E+28
5.000000,  0.00,     3290.0,   0.9712E+28
5.000000,  0.00,     3295.0,   0.1018E+29
5.000000,  0.00,     3300.0,   0.1022E+29
5.000000,  0.00,     3305.0,   0.9692E+28
5.000000,  0.00,     3310.0,   0.9141E+28
5.000000,  0.00,     3315.0,   0.9011E+28
5.000000,  0.00,     3320.0,   0.9071E+28
5.000000,  0.00,     3325.0,   0.9035E+28
5.000000,  0.00,     3330.0,   0.8961E+28
5.000000,  0.00,     3335.0,   0.8973E+28
5.000000,  0.00,     3340.0,   0.9112E+28
5.000000,  0.00,     3345.0,   0.9323E+28
5.000000,  0.00,     3350.0,   0.9355E+28
5.000000,  0.00,     3355.0,   0.8990E+28
5.000000,  0.00,     3360.0,   0.8435E+28
5.000000,  0.00,     3365.0,   0.8038E+28
5.000000,  0.00,     3370.0,   0.7995E+28
5.000000,  0.00,     3375.0,   0.8353E+28
5.000000,  0.00,     3380.0,   0.8831E+28
5.000000,  0.00,     3385.0,   0.9197E+28
5.000000,  0.00,     3390.0,   0.9488E+28
5.000000,  0.00,     3395.0,   0.9747E+28
5.000000,  0.00,     3400.0,   0.9897E+28
5.000000,  0.00,     3405.0,   0.9901E+28
5.000000,  0.00,     3410.0,   0.9750E+28
5.000000,  0.00,     3415.0,   0.9719E+28
5.000000,  0.00,     3420.0,   0.9821E+28
